,Thread Title,Username,post date,linked post,thread post,thread_post_processed
10,SMU's rebranded IT school will have greater focus on computing and coding,politicalsg,"Jan 15, 2021", ,"Only a matter of time until they become better than NUS and NTU, like they did with law Hell, even SUTD grads earn more than NUS/NTU, and that's a design school.",only a matter of time until they become better than nus and ntu like they did with law hell even sutd grads earn more than nus/ntu and that's a design school
11,SMU's rebranded IT school will have greater focus on computing and coding,SpecialKeyboardService,"Jan 15, 2021", ,Today not sunday leh,today not sunday leh
12,SMU's rebranded IT school will have greater focus on computing and coding,Hysteri,"Jan 15, 2021", ,All trying to churn out programmers. 4 years later will have a new frontier.,all trying to churn out programmers 4 years later will have a new frontier
13,SMU's rebranded IT school will have greater focus on computing and coding,poingyo,"Jan 15, 2021", ,copy NUS... initially wanted to focus business IT.. now want focus on IT only..,copy nus initially wanted to focus business it now want focus on it only
14,SMU's rebranded IT school will have greater focus on computing and coding,SUNNYSUNNY0000,"Jan 15, 2021", ,CECA ON THE WAY TO KOPE THEIR JOBS,ceca on the way to kope their jobs
15,SMU's rebranded IT school will have greater focus on computing and coding,slashershot,"Jan 15, 2021", ,Dunno why they wan to try. Smu infosys very unique. About how to manage computer systems to enhance biz. Leave com sci to the actual research uni,dunno why they wan to try smu infosys very unique about how to manage computer systems to enhance biz leave com sci to the actual research uni
16,SMU's rebranded IT school will have greater focus on computing and coding,bluecutie,"Jan 15, 2021", ,At least they are making an effort to teach valuable skills that can set the kids up for life. And not some bs courses,at least they are making an effort to teach valuable skills that can set the kids up for life and not some bs courses
17,SMU's rebranded IT school will have greater focus on computing and coding,cleffa3000,"Jan 15, 2021","politicalsg said:
Only a matter of time until they become better than NUS and NTU, like they did with law Hell, even SUTD grads earn more than NUS/NTU, and that's a design school.",with outdated sch curriculum. boh bian lor. if a sch can come up with a curriculum that is relevant to the current work life. then any sch can win nus/ntu. dont teach us to be research ppl lah,with outdated sch curriculum boh bian lor if a sch can come up with a curriculum that is relevant to the current work life then any sch can win nus/ntu dont teach us to be research ppl lah
18,SMU's rebranded IT school will have greater focus on computing and coding,slashershot,"Jan 15, 2021","cleffa3000 said:
with outdated sch curriculum. boh bian lor. if a sch can come up with a curriculum that is relevant to the current work life. then any sch can win nus/ntu. dont teach us to be research ppl lah
Click to expand...",Com sci very valuable. But nid enhance with critical thinking skills to apply it to a working context. Sadly sinkies never learnt that,com sci very valuable but nid enhance with critical thinking skills to apply it to a working context sadly sinkies never learnt that
19,SMU's rebranded IT school will have greater focus on computing and coding,kiddo23,"Jan 15, 2021", ,"What’s the point when after graduation, the jobs available are grab n food panda",what’s the point when after graduation the jobs available are grab n food panda
20,SMU's rebranded IT school will have greater focus on computing and coding,tripleg,"Jan 15, 2021", ,"The renamed School of Computing and Information Systems (SCIS) at Singapore Management University (SMU) will now have a greater focus on computer science, intensive programming and technology development.. Formerly known as the School Of Information Systems, SCIS will also almost double its annual enrolment of undergraduates from 276 to 520 this year.. This comes as SCIS launches more programmes that tap on team based learning, which the school believes is essential for jobs in today's information technology (IT) industry.. SMU’s education is known for its interactive, collaborative and project based approach to learning.. The new name was announced on Friday (Jan 15) at SCIS and reflects the expanded aspirations and role of the school beyond information systems to include computing, said SMU.. During the unveiling ceremony, SMU's president, Professor Lily Kong, said: ""The school has been refreshing and augmenting our undergraduate and postgraduate education programmes to go beyond information systems, particularly in the science of computing, hard core programming and technology development."". Professor Pang Hwee Hwa, dean of SCIS, said the rebranded school will focus on digital transformation, which focuses on preparing students to be valuable to businesses and organisations looking to use technology to stay competitive.. Digital transformation is one of three areas of focus identified by SMU to prepare its students to be multi disciplinary in the workforce. The other two areas of focus are on sustainable living and growth in Asia.. The school will continue to launch programmes to give its students more skills depth in computing and width in business and social science disciplines.. In August this year, the school will launch a second major in digital business which covers computing skills and the application of technologies to various business functions, and a digital transformation track for postgraduates interested in pursuing the Master of IT in Business programme.. Ms Pearlyn Thiam Zi Hui, a student in her second year at SCIS, said: ""I am pretty excited because it is a whole new direction for the school. The addition of computing will give us leverage in Singapore, especially since society is focusing a lot more on technology."". The 21 year old added that the new emphasis on computing will likely attract more prospective students to enrol in the future, given the demand for those who can code.. https://www.straitstimes.com/singap...ll have greater focus on computing and coding","the renamed school of computing and information systems (scis) at singapore management university (smu) will now have a greater focus on computer science intensive programming and technology development formerly known as the school of information systems scis will also almost double its annual enrolment of undergraduates from 276 to 520 this year this comes as scis launches more programmes that tap on team based learning which the school believes is essential for jobs in today's information technology (it) industry smu’s education is known for its interactive collaborative and project based approach to learning the new name was announced on friday (jan 15) at scis and reflects the expanded aspirations and role of the school beyond information systems to include computing said smu during the unveiling ceremony smu's president professor lily kong said: ""the school has been refreshing and augmenting our undergraduate and postgraduate education programmes to go beyond information systems particularly in the science of computing hard core programming and technology development"" professor pang hwee hwa dean of scis said the rebranded school will focus on digital transformation which focuses on preparing students to be valuable to businesses and organisations looking to use technology to stay competitive digital transformation is one of three areas of focus identified by smu to prepare its students to be multi disciplinary in the workforce the other two areas of focus are on sustainable living and growth in asia the school will continue to launch programmes to give its students more skills depth in computing and width in business and social science disciplines in august this year the school will launch a second major in digital business which covers computing skills and the application of technologies to various business functions and a digital transformation track for postgraduates interested in pursuing the master of it in business programme ms pearlyn thiam zi hui a student in her second year at scis said: ""i am pretty excited because it is a whole new direction for the school the addition of computing will give us leverage in singapore especially since society is focusing a lot more on technology"" the 21 year old added that the new emphasis on computing will likely attract more prospective students to enrol in the future given the demand for those who can code https://wwwstraitstimescom/singapll have greater focus on computing and coding"
21,SMU's rebranded IT school will have greater focus on computing and coding,sanzhu,"Jan 15, 2021", ,Aoon will fizzle out kije biotech,aoon will fizzle out kije biotech
22,SMU's rebranded IT school will have greater focus on computing and coding,Why so serious,"Jan 15, 2021", ,Truckload of sica waiting to destroy these greenhorns,truckload of sica waiting to destroy these greenhorns
23,SMU's rebranded IT school will have greater focus on computing and coding,jgyy1990,"Jan 15, 2021", ,Didn't expect smu to be focused on tech.,didn't expect smu to be focused on tech
24,SMU's rebranded IT school will have greater focus on computing and coding,PeanutButtor,"Jan 15, 2021","jgyy1990 said:
Didn't expect smu to be focused on tech.",Cheap... imagine ceca lecturer doing teaching...,cheap imagine ceca lecturer doing teaching
25,SMU's rebranded IT school will have greater focus on computing and coding,eno_lc,"Jan 15, 2021", ,Wats the point when the IT sector here is flooded by sicka,wats the point when the it sector here is flooded by sicka
26,SMU's rebranded IT school will have greater focus on computing and coding,20kjinsatki,"Jan 15, 2021", ,Isn't ntu tech better than smu?,isn't ntu tech better than smu
27,SMU's rebranded IT school will have greater focus on computing and coding,likevegetable,"Jan 15, 2021", ,"Today's flavour ish IT?
Siang happen to all the previous initiatives rike Biotech or EduHub?","today's flavour ish it
siang happen to all the previous initiatives rike biotech or eduhub"
28,SMU's rebranded IT school will have greater focus on computing and coding,Weaboo,"Jan 15, 2021", ,leetard skool. at first brand as biz + IT now gg back to IT focused,leetard skool at first brand as biz + it now gg back to it focused
29,SMU's rebranded IT school will have greater focus on computing and coding,ballastic90,"Jan 15, 2021", ,Jin song liao,jin song liao
30,SMU's rebranded IT school will have greater focus on computing and coding,politicalsg,"Jan 15, 2021", ,"Only a matter of time until they become better than NUS and NTU, like they did with law Hell, even SUTD grads earn more than NUS/NTU, and that's a design school.",only a matter of time until they become better than nus and ntu like they did with law hell even sutd grads earn more than nus/ntu and that's a design school
31,SMU's rebranded IT school will have greater focus on computing and coding,SpecialKeyboardService,"Jan 15, 2021", ,Today not sunday leh,today not sunday leh
32,SMU's rebranded IT school will have greater focus on computing and coding,Hysteri,"Jan 15, 2021", ,All trying to churn out programmers. 4 years later will have a new frontier.,all trying to churn out programmers 4 years later will have a new frontier
33,SMU's rebranded IT school will have greater focus on computing and coding,poingyo,"Jan 15, 2021", ,copy NUS... initially wanted to focus business IT.. now want focus on IT only..,copy nus initially wanted to focus business it now want focus on it only
34,SMU's rebranded IT school will have greater focus on computing and coding,SUNNYSUNNY0000,"Jan 15, 2021", ,CECA ON THE WAY TO KOPE THEIR JOBS,ceca on the way to kope their jobs
35,SMU's rebranded IT school will have greater focus on computing and coding,slashershot,"Jan 15, 2021", ,Dunno why they wan to try. Smu infosys very unique. About how to manage computer systems to enhance biz. Leave com sci to the actual research uni,dunno why they wan to try smu infosys very unique about how to manage computer systems to enhance biz leave com sci to the actual research uni
36,SMU's rebranded IT school will have greater focus on computing and coding,bluecutie,"Jan 15, 2021", ,At least they are making an effort to teach valuable skills that can set the kids up for life. And not some bs courses,at least they are making an effort to teach valuable skills that can set the kids up for life and not some bs courses
37,SMU's rebranded IT school will have greater focus on computing and coding,cleffa3000,"Jan 15, 2021","politicalsg said:
Only a matter of time until they become better than NUS and NTU, like they did with law Hell, even SUTD grads earn more than NUS/NTU, and that's a design school.",with outdated sch curriculum. boh bian lor. if a sch can come up with a curriculum that is relevant to the current work life. then any sch can win nus/ntu. dont teach us to be research ppl lah,with outdated sch curriculum boh bian lor if a sch can come up with a curriculum that is relevant to the current work life then any sch can win nus/ntu dont teach us to be research ppl lah
38,SMU's rebranded IT school will have greater focus on computing and coding,slashershot,"Jan 15, 2021","cleffa3000 said:
with outdated sch curriculum. boh bian lor. if a sch can come up with a curriculum that is relevant to the current work life. then any sch can win nus/ntu. dont teach us to be research ppl lah
Click to expand...",Com sci very valuable. But nid enhance with critical thinking skills to apply it to a working context. Sadly sinkies never learnt that,com sci very valuable but nid enhance with critical thinking skills to apply it to a working context sadly sinkies never learnt that
39,SMU's rebranded IT school will have greater focus on computing and coding,kiddo23,"Jan 15, 2021", ,"What’s the point when after graduation, the jobs available are grab n food panda",what’s the point when after graduation the jobs available are grab n food panda
40,SMU's rebranded IT school will have greater focus on computing and coding,cleffa3000,"Jan 15, 2021","kiddo23 said:
What’s the point when after graduation, the jobs available are grab n food panda",got lor. traineeship u want or not,got lor traineeship u want or not
41,SMU's rebranded IT school will have greater focus on computing and coding,madcampus,"Jan 15, 2021", ,"Every once awhile, there will be some “trendy” courses. My time was mass communication and biotechnology. My father’s time was engineering.",every once awhile there will be some “trendy” courses my time was mass communication and biotechnology my father’s time was engineering
42,SMU's rebranded IT school will have greater focus on computing and coding,politicalsg,"Jan 15, 2021", ,DaBaby Sucks.,dababy sucks
43,SMU's rebranded IT school will have greater focus on computing and coding,jack 320,"Jan 15, 2021", ,Any difference?. FTs like Ramesh or Kumar can pawn them and get paid highly. Who needs another SMU IT grad,any difference fts like ramesh or kumar can pawn them and get paid highly who needs another smu it grad
44,SMU's rebranded IT school will have greater focus on computing and coding,Laguna123,"Jan 15, 2021","Hysteri said:
All trying to churn out programmers. 4 years later will have a new frontier.",just like biomedical?,just like biomedical
45,SMU's rebranded IT school will have greater focus on computing and coding,Laguna123,"Jan 15, 2021","madcampus said:
Every once awhile, there will be some “trendy” courses. My time was mass communication and biotechnology. My father’s time was engineering.",Mean I can be your father liao.,mean i can be your father liao
46,SMU's rebranded IT school will have greater focus on computing and coding,Roundtreex,"Jan 15, 2021", ,Edmw say 2k salary.,edmw say 2k salary
47,SMU's rebranded IT school will have greater focus on computing and coding,dannytan87,"Jan 15, 2021", ,,
48,SMU's rebranded IT school will have greater focus on computing and coding,DulanMax,"Jan 15, 2021", ,"Too slow liao. How many jobs are already taken by FT.. For a biz sch, they sure are slow in keeping up with the times.",too slow liao how many jobs are already taken by ft for a biz sch they sure are slow in keeping up with the times
49,SMU IS,khozh_91,"May 6, 2013", ,"Hey guys, I would like to ask what does one usually study in IS? And is it a really demanding course for someone who doesn't have any background in IT? Thanks!",hey guys i would like to ask what does one usually study in is and is it a really demanding course for someone who doesn't have any background in it thanks
50,SMU IS,dede1217,"May 23, 2013","khozh_91 said:
Hey guys, I would like to ask what does one usually study in IS? And is it a really demanding course for someone who doesn't have any background in IT? Thanks!","Had just graduated from IS
If you dont have background, dont worry, but you have to try very hard.
During first year, fundamental java module , around 15  20 or more students will fail. People who have gotten 49.xx marks also considered fail
Then have to wait one more year as that module is provided once every year. You will be one year slower than your peers (you will have to take with the 2014 batch student next year) because if you fail the fundamental java, you cant take Object oriented which is the part two of java. Then moving on to Object Oriented Module, again, around 15 20 ppl will fail.. During my time, if your lab test cannot compile, meaning got syntax error, 50% of your marks will be gone. Lab test constitute around 30% of your overall module score. So people will be getting like 3/30, for those who did well, they will get full marks.","had just graduated from is
if you dont have background dont worry but you have to try very hard
during first year fundamental java module  around 15  20 or more students will fail people who have gotten 49xx marks also considered fail
then have to wait one more year as that module is provided once every year you will be one year slower than your peers (you will have to take with the 2014 batch student next year) because if you fail the fundamental java you cant take object oriented which is the part two of java then moving on to object oriented module again around 15 20 ppl will fail during my time if your lab test cannot compile meaning got syntax error 50% of your marks will be gone lab test constitute around 30% of your overall module score so people will be getting like 3/30 for those who did well they will get full marks"
51,SMU IS,brokenshardz,"Jul 19, 2013","dede1217 said:
Had just graduated from IS
If you dont have background, dont worry, but you have to try very hard.
During first year, fundamental java module , around 15  20 or more students will fail. People who have gotten 49.xx marks also considered fail
Then have to wait one more year as that module is provided once every year. You will be one year slower than your peers (you will have to take with the 2014 batch student next year) because if you fail the fundamental java, you cant take Object oriented which is the part two of java. Then moving on to Object Oriented Module, again, around 15 20 ppl will fail.. During my time, if your lab test cannot compile, meaning got syntax error, 50% of your marks will be gone. Lab test constitute around 30% of your overall module score. So people will be getting like 3/30, for those who did well, they will get full marks.
Click to expand...","the last batch (i.e. 2012/2013) had a special term 2 class and summer class created for them to catch up with their peers in their year 2. but then again, it also depends on the number of failures for the batch.",the last batch (ie 2012/2013) had a special term 2 class and summer class created for them to catch up with their peers in their year 2 but then again it also depends on the number of failures for the batch
52,SMU IS,JinYuan,"Feb 20, 2014", ,"anyone care to share roughly wad will be taught in IS?
i looked at the Curriculum Detail but i don't quite understand.
Also want to find out roughly how many modules do you have to take each semester and how the workload is like.","anyone care to share roughly wad will be taught in is
i looked at the curriculum detail but i don't quite understand
also want to find out roughly how many modules do you have to take each semester and how the workload is like"
53,SMU IS,sm4ever,"Feb 27, 2014", ,"2 cents from a SMU SIS senior. Hey JiaYuan,. Usually IS people do 4 5 modules per semester depending on the individual. As for workload wise, you will find that it is most certainly heavier than your peers from other faculties, but what doesn't kill you makes you stronger right? That's why IS graduates are in high demand in the industry XD. The curriculum details are listed quite comprehensive on the school website,
but if you are still unsure, SMU having an open house this weekend,
be sure to drop by and there will be Professors, existing students around to have your questions answered","2 cents from a smu sis senior hey jiayuan usually is people do 4 5 modules per semester depending on the individual as for workload wise you will find that it is most certainly heavier than your peers from other faculties but what doesn't kill you makes you stronger right that's why is graduates are in high demand in the industry xd the curriculum details are listed quite comprehensive on the school website
but if you are still unsure smu having an open house this weekend
be sure to drop by and there will be professors existing students around to have your questions answered"
54,SMU IS,bryant_16,"Apr 21, 2014", ,"If you need any information regarding SIS, please pm me. I will try my best to help you.",if you need any information regarding sis please pm me i will try my best to help you
55,SMU IS,panotoh,"May 3, 2014", ,"Hi, I just got accepted into smu sis and I know smu classes are conducted the seminar way. I heard that you have to speak up every single lesson and the professor will tick your name or smth? Is that true? Wouldn't that kill the spirit of learning if people are speaking up for the sake of just talking...?",hi i just got accepted into smu sis and i know smu classes are conducted the seminar way i heard that you have to speak up every single lesson and the professor will tick your name or smth is that true wouldn't that kill the spirit of learning if people are speaking up for the sake of just talking
56,SMU IS,evilster,"May 9, 2014","panotoh said:
Hi, I just got accepted into smu sis and I know smu classes are conducted the seminar way. I heard that you have to speak up every single lesson and the professor will tick your name or smth? Is that true? Wouldn't that kill the spirit of learning if people are speaking up for the sake of just talking...?","Lol, class part is important that all I can say.
It is about 10 20% of your total grades. And normally is either the ta mark it or you have good impression in the eye of prof to give u good mark. Be proactive can alr.","lol class part is important that all i can say
it is about 10 20% of your total grades and normally is either the ta mark it or you have good impression in the eye of prof to give u good mark be proactive can alr"
57,SMU IS or SMU BIZ,ohgnod,"May 29, 2015", ,"Hi guys, so I’m in a dilemma… I was offered NUS Sci and NTU Biosci. I’m good in science but honestly, I don’t have the passion for it and I don’t see myself working in a lab/taking masters or phd in the future.. So I went to reinstate my application for SMU SIS, I was then accepted 4 hours after I went for the interview. The interview went really well, definitely one of the easiest and laidback interviews I’ve been to, despite all the horror stories. I can SO TOTALLY see myself doing biz + tech in the future. But, I don’t have much programming knowledge (coded in html when I was in pri sch, during the era when having a blog was cool but that was sooooo long ago haha) and from my research, IS is one of the toughest course in SMU with the average GPA of 2.8/2.9. The number of cum laude students in IS is significantly smaller as compared to the other schools in SMU. I’m afraid that if I were to enroll into IS I will do very badly. I've accepted SMU's offer (as of now) because i would rather do IS than natural sciences.. I like biz and tech, but it doesn’t mean that I will be good at it. On the other hand, I don’t have the fiery passion for science but I’m good in it.. Also, I’m thinking if I should appeal for SMU biz since I’ve always wanted to do biz when I was in JC and it seems slightly easier to do better in biz than IS.. Sorry, my post is very incoherent cos I’m discreetly browsing hwz while at work.",hi guys so i’m in a dilemma… i was offered nus sci and ntu biosci i’m good in science but honestly i don’t have the passion for it and i don’t see myself working in a lab/taking masters or phd in the future so i went to reinstate my application for smu sis i was then accepted 4 hours after i went for the interview the interview went really well definitely one of the easiest and laidback interviews i’ve been to despite all the horror stories i can so totally see myself doing biz + tech in the future but i don’t have much programming knowledge (coded in html when i was in pri sch during the era when having a blog was cool but that was sooooo long ago haha) and from my research is is one of the toughest course in smu with the average gpa of 28/29 the number of cum laude students in is is significantly smaller as compared to the other schools in smu i’m afraid that if i were to enroll into is i will do very badly i've accepted smu's offer (as of now) because i would rather do is than natural sciences i like biz and tech but it doesn’t mean that i will be good at it on the other hand i don’t have the fiery passion for science but i’m good in it also i’m thinking if i should appeal for smu biz since i’ve always wanted to do biz when i was in jc and it seems slightly easier to do better in biz than is sorry my post is very incoherent cos i’m discreetly browsing hwz while at work
58,SMU IS or SMU BIZ,Nosferato4,"May 29, 2015","ohgnod said:
Hi guys, so I’m in a dilemma… I was offered NUS Sci and NTU Biosci. I’m good in science but honestly, I don’t have the passion for it and I don’t see myself working in a lab/taking masters or phd in the future.. So I went to reinstate my application for SMU SIS, I was then accepted 4 hours after I went for the interview. The interview went really well, definitely one of the easiest and laidback interviews I’ve been to, despite all the horror stories. I can SO TOTALLY see myself doing biz + tech in the future. But, I don’t have much programming knowledge (coded in html when I was in pri sch, during the era when having a blog was cool but that was sooooo long ago haha) and from my research, IS is one of the toughest course in SMU with the average GPA of 2.8/2.9. The number of cum laude students in IS is significantly smaller as compared to the other schools in SMU. I’m afraid that if I were to enroll into IS I will do very badly. I've accepted SMU's offer (as of now) because i would rather do IS than natural sciences.. I like biz and tech, but it doesn’t mean that I will be good at it. On the other hand, I don’t have the fiery passion for science but I’m good in it.. Also, I’m thinking if I should appeal for SMU biz since I’ve always wanted to do biz when I was in JC and it seems slightly easier to do better in biz than IS.. Sorry, my post is very incoherent cos I’m discreetly browsing hwz while at work.
Click to expand...","
My response to you is: Go with your passion.. If you love what you are doing, you will be successful.. Also, with regards to your question on SIS and low GPA, I can tell you the unique selling point about SMU's SIS and why their students from that school receive e higher starting pay than that of their Business School is because of their numerous portfolio's and job experiences the SIS's students have.. 
You might have a GPA of 4.0 when you graduate, but if you think about this, Information systems require a strong technical knowledge and competencies/know how to complete your job. Having experience would be a +1 factor imo.. At the end of the day, the person who hires someone in Information Systems wouldn't care about high GPA. Sure. You get High GPA from passing tests in school, but what about real live projects? Real life clients? They require you to use this knowledge you have outside of school.. I will not lie though. SMU SIS is very rigorous and very tough. They push you to be the very best. You will cope not just with school work, but with external projects/clients/internships/jobs most of the time. This is what makes SIS unique.. To keep it short, SMU SIS' graduates are highly sought after not because of their GPA. But because of their amazing portfolio the students have, and their experience gained whilst their time in SMU.. Employers really do prefer SMU SIS graduates with a GPA of 2.9+ that has an amazing/incredible portfolio/ experience over a Full GPA student that has a sub par one.. (I gained this knowledge by talking to a friend in that school + hearing the director of the school talk.). 
Oh, one last tip:. All of SMU's courses throughout the school is Business Centric. FROM SIS, School of Econs, Social Sciences, Law, to School of Accountancy. Their modules mostly revolves around business.. But if you are keen to delve deeper into the Business curriculum, SMU is flexible enough to offer you a double major/degree on your second year on wards. You can also choose to appeal for a double degree from the start as well.. You don't have to worry because the curriculum structure allows you to study what you like Biz + IT without having to sacrifice in one are that you love, unlike NUS or NTU where their curriculum is more rigid and inflexible.. 
Hope that helps","
my response to you is: go with your passion if you love what you are doing you will be successful also with regards to your question on sis and low gpa i can tell you the unique selling point about smu's sis and why their students from that school receive e higher starting pay than that of their business school is because of their numerous portfolio's and job experiences the sis's students have 
you might have a gpa of 40 when you graduate but if you think about this information systems require a strong technical knowledge and competencies/know how to complete your job having experience would be a +1 factor imo at the end of the day the person who hires someone in information systems wouldn't care about high gpa sure you get high gpa from passing tests in school but what about real live projects real life clients they require you to use this knowledge you have outside of school i will not lie though smu sis is very rigorous and very tough they push you to be the very best you will cope not just with school work but with external projects/clients/internships/jobs most of the time this is what makes sis unique to keep it short smu sis' graduates are highly sought after not because of their gpa but because of their amazing portfolio the students have and their experience gained whilst their time in smu employers really do prefer smu sis graduates with a gpa of 29+ that has an amazing/incredible portfolio/ experience over a full gpa student that has a sub par one (i gained this knowledge by talking to a friend in that school + hearing the director of the school talk) 
oh one last tip: all of smu's courses throughout the school is business centric from sis school of econs social sciences law to school of accountancy their modules mostly revolves around business but if you are keen to delve deeper into the business curriculum smu is flexible enough to offer you a double major/degree on your second year on wards you can also choose to appeal for a double degree from the start as well you don't have to worry because the curriculum structure allows you to study what you like biz + it without having to sacrifice in one are that you love unlike nus or ntu where their curriculum is more rigid and inflexible 
hope that helps"
